year,good,moderate,aqi,unhealthy
1980,69,203,234,34
1981,53,235,226,17
1982,57,230,226,18
1983,80,189,234,25
1984,83,216,234,21
1985,125,165,235,25
1986,113,193,217,19
1987,89,203,232,19
1988,133,172,259,20
1989,143,178,203,9
1990,182,139,219,12
1991,167,130,224,20
1992,145,205,187,10
1993,169,124,483,26
1994,136,159,427,20
1995,156,144,243,12
1996,166,145,337,12
1997,167,153,215,19
1998,152,166,200,12
1999,137,193,214,11
2000,137,200,212,5
2001,102,212,289,13
2002,124,182,213,17
2003,147,179,197,5
2004,135,201,172,8
2005,149,177,197,8
2006,147,174,177,6
2007,137,188,205,8
2008,128,210,260,4
2009,183,174,147,0
2010,171,166,172,4
2011,155,190,172,7
2012,135,203,154,3
2013,168,187,122,0
2014,132,224,151,1
2015,177,172,161,2
2016,192,165,147,0
2017,190,163,166,2
2018,217,138,156,1
2019,244,115,140,0
2020,281,80,119,0
